,gender,found_job,age,class
411,male,0,55,C
412,male,0,60,B
413,female,0,51,C
414,female,0,45,A
415,female,0,61,B
416,female,0,41,A
417,male,0,60,A
418,female,0,57,C
419,male,0,44,A
420,female,0,71,C
421,male,0,40,A
422,male,0,70,C
423,female,0,58,B
424,male,0,48,B
425,male,0,61,A
426,male,0,44,C
427,male,0,56,B
428,male,0,43,A
429,female,0,72,C
430,male,0,44,B
431,male,0,56,B
432,male,0,54,A
433,female,0,66,C
434,male,0,63,A
435,female,0,53,C
436,male,0,60,B
437,male,0,55,C
438,male,0,53,C
439,male,0,54,C
440,male,0,53,C
441,male,0,57,B
442,male,0,72,C
443,male,0,59,C
444,male,0,44,B
445,male,0,52,B
446,female,0,51,B
447,female,0,60,B
448,male,0,28,A
449,female,0,35,C
450,male,0,43,C
451,female,0,42,A
452,male,0,50,A
453,male,0,65,A
454,female,0,49,B
455,female,0,48,A
456,female,0,60,B
457,male,0,52,A
458,male,0,61,C
459,male,0,63,C
460,male,0,47,B
461,male,0,62,C
462,female,0,52,C
463,male,0,47,C
464,male,0,41,C
465,male,0,53,A
466,male,0,47,A
467,male,0,75,C
468,male,0,70,B
469,female,0,53,C
470,male,0,62,B
471,male,1,51,B
472,male,0,69,B
473,female,0,47,C
474,male,0,58,C
475,female,1,54,A
476,female,0,51,C
477,male,0,71,A
478,male,0,61,C
479,male,0,42,C
480,female,0,57,C
481,male,0,55,A
482,male,0,65,A
483,male,0,69,B
484,male,0,42,B
485,male,0,44,B
486,female,0,48,B
487,female,0,74,B
488,male,0,61,A
489,female,0,60,B
490,female,0,46,A
491,male,1,36,B
492,female,0,64,A
493,male,0,63,C
494,male,0,62,B
495,male,0,63,C
496,male,0,66,B
497,male,0,63,B
498,male,0,54,B
499,male,0,40,B
500,male,1,47,C
501,male,0,70,A
502,male,0,64,B
503,male,1,52,B
504,male,0,53,A
505,male,0,57,C
506,male,0,59,A
507,male,0,46,B
508,male,0,73,B
509,male,0,65,C
510,male,0,42,A
511,male,0,49,B
512,female,0,60,B
513,male,0,68,B
514,male,0,58,B
515,female,0,58,A
516,female,0,64,B
517,male,0,47,C
518,male,0,47,B
519,male,0,44,C
520,male,0,32,B
521,male,0,52,B
522,female,0,50,B
523,female,0,57,B
524,male,0,54,C
525,male,0,46,C
526,male,0,60,C
527,male,0,60,C
528,male,0,42,C
529,female,0,61,B
530,male,0,51,C
531,male,0,60,C
532,male,0,43,C
533,male,0,60,C
534,male,0,47,C
535,male,0,47,C
536,male,0,56,C
537,male,0,48,A
538,male,1,48,B
539,male,0,65,A
540,male,0,44,A
541,male,0,70,A
542,male,0,64,C
543,male,0,50,C
544,male,0,45,A
545,female,0,49,C
546,female,0,60,B
547,male,0,54,A
548,male,0,52,C
549,male,0,46,C
550,male,0,59,B
551,female,0,53,C
552,female,0,56,B
553,male,0,49,C
554,male,0,56,B
555,male,0,45,A
556,female,0,61,B
557,female,0,69,B
558,male,1,42,B
559,male,0,58,B
560,male,0,73,B
561,male,0,61,C
562,male,0,46,C
563,male,0,66,C
564,male,0,51,A
565,male,0,60,B
566,male,1,49,A
567,male,0,69,B
568,male,0,62,C
569,male,0,63,B
570,male,0,46,B
571,male,0,35,C
572,female,0,51,C
573,male,0,59,B
574,male,0,44,A
575,male,0,51,C
576,male,0,57,C
577,female,0,46,B
578,male,0,73,B
579,male,0,74,C
580,male,0,47,B
581,male,0,55,B
582,male,0,57,A
583,female,0,44,A
584,male,0,44,B
585,male,0,74,C
586,female,0,54,B
587,female,0,61,C
588,male,0,42,B
589,male,0,43,C
590,female,0,30,A
591,male,0,59,B
592,male,0,57,C
593,female,0,66,C
594,female,0,49,B
595,female,0,49,A
596,male,0,59,B
597,male,0,53,B
598,female,0,49,C
599,female,0,51,B
600,male,0,54,B
601,male,0,49,A
602,female,0,39,B
603,male,0,43,C
604,female,1,57,C
605,male,0,51,C
606,female,0,64,C
607,female,0,45,B
608,male,0,51,C
609,male,0,47,B
610,male,1,42,B
611,female,0,34,A
612,male,0,47,C
613,female,0,60,A
614,male,0,57,C
615,female,0,44,C
616,male,1,50,B
617,male,0,40,C
618,female,0,68,C
619,male,0,75,C
620,female,0,46,A
621,female,0,43,B
622,male,0,59,B
623,female,0,59,B
624,male,0,59,C
625,male,0,54,B
626,male,0,47,A
627,female,0,37,C
628,male,0,47,B
629,male,0,70,B
630,male,0,37,B
631,male,0,49,C
632,male,0,69,B
633,male,0,59,B
634,female,0,48,C
635,female,0,59,B
636,female,0,58,C
637,male,0,56,A
638,female,0,48,C
639,male,0,49,C
640,female,0,68,B
641,male,0,65,B
642,male,1,42,C
643,male,0,54,A
644,female,0,38,A
645,female,0,39,B
646,male,0,54,B
647,female,0,58,C
648,male,0,70,A
649,male,0,45,C
650,female,0,41,C
651,male,0,56,B
652,male,0,51,C
653,male,0,46,C
654,male,0,65,A
655,male,0,40,C
656,male,0,54,C
657,female,0,44,C
658,male,0,51,B
659,male,0,47,B
660,male,0,69,B
661,male,0,62,A
662,male,0,35,B
663,female,0,56,C
664,male,0,45,C
665,female,0,75,C
666,female,0,56,A
667,male,0,40,C
668,female,0,53,B
669,male,0,46,B
670,male,1,40,A
671,female,0,46,B
672,male,0,37,C
673,female,0,43,C
674,female,0,49,C
675,male,0,53,C
676,male,0,46,C
677,male,0,55,C
678,male,0,41,A
679,female,0,58,B
680,male,0,45,B
681,male,0,51,C
682,male,0,45,C
683,male,0,45,B
684,male,0,54,B
685,male,0,49,C
686,male,0,52,B
687,female,0,78,C
688,male,0,39,C
689,female,0,50,B
690,female,0,56,C
691,male,0,48,B
692,male,0,40,B
693,male,0,71,B
694,female,0,52,A
695,male,0,42,B
696,female,0,70,A
697,male,0,68,A
698,female,0,57,A
699,male,0,55,C
700,male,0,44,C
701,female,0,51,B
702,male,0,52,C
703,male,0,47,A
704,male,1,48,A
705,female,0,59,B
706,male,0,71,B
707,male,0,72,C
708,female,0,73,B
709,female,0,44,C
710,female,0,62,A
711,male,0,39,A
712,female,0,26,C
713,female,0,54,C
714,female,0,63,C
715,male,0,61,C
716,female,0,52,B
717,female,0,50,B
718,male,0,72,C
719,male,1,37,A
720,male,0,57,C
721,male,0,64,B
722,male,1,41,C
723,male,0,50,B
724,male,0,61,C
725,male,0,63,B
726,female,0,52,C
727,male,0,55,B
728,female,0,55,B
729,female,0,51,C
730,female,0,56,C
731,female,0,70,C
732,male,1,28,A
733,male,0,55,C
734,male,0,42,C
735,female,0,59,A
736,male,0,57,C
737,male,0,43,B
738,male,0,53,C
739,male,1,47,A
740,female,0,52,B
741,male,0,44,C
742,female,0,56,C
743,male,0,60,B
744,male,0,38,B
745,male,0,57,C
746,male,0,57,C
747,male,0,46,C
748,male,0,75,B
749,male,0,54,C
750,female,0,53,B
751,male,1,49,A
752,male,1,40,A
753,male,0,49,C
754,male,1,51,A
755,male,1,42,B
756,male,0,46,A
757,male,0,49,B
758,male,0,59,C
759,male,0,48,C
760,male,0,36,B
761,female,1,52,A
762,male,0,66,C
763,female,0,63,A
764,male,0,61,A
765,male,0,59,A
766,male,0,55,B
767,male,0,60,C
768,female,0,70,B
769,male,0,53,C
770,male,0,64,B
771,male,1,35,B
772,male,0,61,B
773,male,0,47,C
774,male,0,57,B
775,male,0,67,C
776,female,0,55,B
777,female,0,62,C
778,male,0,66,B
779,female,0,68,C
780,male,0,54,C
781,male,0,40,B
782,male,0,54,C
783,male,0,56,C
784,male,0,45,C
785,male,0,30,A
786,male,1,43,A
787,male,0,60,C
788,female,0,58,A
789,female,0,49,B
790,male,0,69,C
791,male,0,50,C
792,male,0,57,C
793,male,0,52,A
794,male,0,51,A
795,male,0,45,C
796,male,0,68,C
797,female,0,46,A
798,female,0,49,A
799,female,0,64,B
800,female,0,36,B
801,female,0,39,A
802,male,0,68,C
803,male,0,56,B
804,female,0,52,B
805,male,0,68,B
806,female,0,59,C
807,male,0,39,B
808,male,0,51,B
809,female,1,38,A
810,male,0,55,A
811,male,0,70,A
812,male,0,54,B
813,female,0,33,B
814,male,0,48,C
815,female,0,63,B
816,male,0,43,C
817,male,0,59,C
818,female,0,51,C
819,female,1,42,A
820,female,0,68,C
821,male,0,44,C
822,male,0,40,C
823,male,0,32,B
824,female,0,60,C
825,male,0,65,B
826,male,0,42,C
827,male,0,46,A
828,male,1,40,A
829,male,0,42,A
830,female,1,45,A
831,female,0,48,A
832,male,0,81,B
833,male,0,44,A
834,female,0,63,C
835,male,0,49,C
836,male,0,58,B
837,male,0,65,B
838,male,0,61,A
839,male,0,55,C
840,male,0,52,C
841,male,0,36,B
842,male,1,43,A
843,female,0,55,B
844,female,0,44,C
845,male,0,80,B
846,female,0,45,A
847,male,0,56,B
848,male,0,67,C
849,male,0,44,A
850,male,0,41,C
851,male,1,46,A
852,male,0,40,C
853,male,1,51,A
854,male,0,56,C
855,male,0,57,C
856,female,0,64,C
857,male,0,55,C
858,female,0,69,A
859,male,0,48,A
860,male,0,61,C
861,female,0,61,C
862,male,0,58,C
863,male,0,60,A
864,male,0,50,B
865,male,0,49,B
866,female,0,50,C
867,male,0,41,A
868,male,0,65,B
869,female,0,51,C
870,male,0,39,C
871,male,0,59,B
872,male,0,55,C
873,male,0,69,C
874,male,0,53,C
875,female,0,45,C
876,female,0,75,C
877,male,0,38,C
878,male,0,54,C
879,male,0,47,B
880,male,0,60,C
881,male,0,46,A
882,female,0,76,C
883,male,0,47,B
884,female,0,53,C
885,male,0,50,B
886,male,0,42,C
887,male,0,53,B
888,male,1,48,A
889,female,0,65,B
890,male,0,58,A
891,female,0,50,C
892,male,0,42,B
893,male,0,58,A
894,male,0,60,C
895,female,0,70,C
896,male,0,52,C
897,male,0,41,A
898,female,0,48,C
899,female,0,82,B
900,male,0,51,A
901,male,0,65,C
902,male,1,31,B
903,male,1,32,C
904,male,0,55,C
905,male,0,36,B
906,male,0,44,B
907,male,0,55,C
908,male,0,59,C
909,male,0,43,A
910,male,0,46,B
911,male,0,46,B
912,male,0,41,C
913,male,1,37,A
914,male,0,50,C
915,male,0,69,B
916,male,0,56,B
917,female,0,22,A
918,male,0,60,B
919,female,0,47,B
920,male,0,65,C
921,male,0,43,A
922,male,0,56,B
923,male,0,45,B
924,male,0,45,C
925,male,0,57,C
926,female,0,45,A
927,male,0,54,A
928,male,0,49,C
929,male,0,61,C
930,male,0,56,C
931,female,0,63,C
932,male,0,41,C
933,female,0,63,C
934,female,0,56,A
935,female,0,54,B
936,female,0,58,B
937,male,0,53,B
938,male,0,44,B
939,female,0,40,A
940,male,0,64,B
941,male,0,84,A
942,female,0,48,C
943,male,0,55,C
944,male,1,36,B
945,male,0,47,A
946,male,0,73,C
947,female,0,65,C
948,male,0,58,C
949,male,0,46,C
950,female,0,65,C
951,male,0,46,C
952,male,0,49,B
953,female,0,53,B
954,female,0,32,B
955,male,0,85,A
956,male,0,58,B
957,male,0,72,B
958,female,0,61,B
959,female,0,46,A
960,female,0,62,A
961,female,1,39,B
962,male,0,62,A
963,female,0,69,B
964,male,1,35,A
965,male,0,55,A
966,female,0,63,A
967,female,0,64,B
968,male,0,58,A
969,male,1,43,B
970,male,0,44,C
971,male,0,63,A
972,male,0,66,C
973,male,0,42,C
974,female,0,62,C
975,male,0,63,C
976,male,0,52,B
977,male,0,41,C
978,male,0,65,B
979,female,0,63,C
980,male,1,49,B
981,male,0,75,B
982,female,0,41,A
983,male,1,37,C
984,female,0,68,B
985,male,0,54,B
986,male,0,57,C
987,male,0,44,C
988,male,0,42,B
989,male,0,77,A
990,male,0,48,C
991,female,0,44,B
992,female,0,34,C
993,female,0,54,A
994,male,0,57,A
995,male,0,55,C
996,male,0,54,B
997,male,0,49,A
998,male,0,63,C
999,male,0,61,B
1000,male,0,65,C
1001,male,1,54,B
1002,female,0,59,C
1003,male,0,61,B
1004,male,0,68,B
1005,female,0,57,A
1006,male,0,77,B
1007,male,0,60,C
1008,female,0,53,C
1009,male,1,47,B
1010,male,0,56,A
1011,male,0,45,C
1012,male,0,54,A
1013,male,0,52,B
1014,female,0,48,C
1015,male,0,49,A
1016,male,0,71,C
1017,male,0,65,A
1018,male,0,30,A
1019,male,0,53,C
1020,male,0,60,C
1021,male,1,42,A
1022,male,0,53,C
1023,male,0,60,C
1024,female,0,50,A
1025,male,0,37,B
1026,female,0,48,C
1027,male,0,58,B
1028,male,0,56,B
1029,male,0,70,C
1030,male,0,59,B
1031,male,0,37,A
1032,female,1,43,A
1033,female,1,43,B
1034,male,0,67,B
1035,male,0,50,C
1036,male,0,50,C
1037,male,0,67,B
1038,male,0,48,B
1039,male,0,61,A
1040,female,0,51,C
1041,female,0,39,C
1042,female,0,42,C
1043,female,0,59,B
1044,female,0,52,C
1045,male,0,54,B
1046,female,0,46,C
1047,male,0,48,C
1048,male,0,53,C
1049,male,0,50,A
1050,male,0,41,C
1051,male,0,46,C
1052,male,0,48,C
1053,female,0,64,B
1054,male,0,47,C
1055,female,0,47,C
1056,female,0,63,B
1057,male,0,48,C
1058,female,0,69,C
1059,female,0,46,C
1060,male,0,66,B
1061,male,1,50,B
1062,female,0,27,B
1063,male,0,57,C
1064,male,0,67,C
1065,male,0,42,B
1066,male,0,53,A
1067,male,0,68,C
1068,male,0,50,B
1069,male,0,52,C
1070,male,0,64,B
1071,female,0,56,A
1072,female,0,60,C
1073,female,0,52,A
1074,female,0,51,B
1075,female,0,45,B
1076,male,0,48,B
1077,female,0,76,C
1078,male,1,31,B
1079,female,0,48,C
1080,female,0,56,C
1081,female,0,53,C
1082,female,0,45,C
1083,male,1,46,B
1084,male,0,40,C
1085,male,0,43,C
1086,female,0,51,C
1087,male,0,51,C
1088,male,0,61,B
1089,male,0,60,B
1090,male,0,63,B
1091,male,0,68,B
1092,male,0,49,C
1093,male,1,46,B
1094,female,0,66,C
1095,male,0,50,A
1096,male,0,46,C
1097,male,0,61,C
1098,female,0,65,B
1099,male,0,74,C
1100,female,0,73,B
1101,male,0,66,B
1102,male,0,53,C
1103,male,0,59,C
1104,female,0,67,C
1105,male,0,61,A
1106,female,0,53,C
1107,male,0,55,B
1108,female,0,64,A
1109,male,0,42,A
1110,male,0,59,C
1111,male,0,63,B
1112,female,0,55,C
1113,female,0,45,C
1114,male,0,67,B
1115,female,0,48,A
1116,male,0,69,B
1117,male,0,62,B
1118,male,0,53,A
1119,male,0,55,C
1120,male,0,51,C
1121,male,0,46,C
1122,male,0,55,A
1123,female,0,52,A
1124,female,0,57,C
1125,female,0,65,A
1126,female,0,49,A
1127,male,0,39,C
1128,male,0,69,C
1129,male,0,81,B
1130,male,0,45,C
1131,female,0,47,B
1132,female,0,61,C
1133,female,0,55,B
1134,female,0,59,B
1135,female,0,47,B
1136,male,0,34,C
1137,male,0,64,C
1138,male,1,59,B
1139,male,0,65,B
1140,male,0,67,C
1141,female,0,57,C
1142,male,0,35,A
1143,male,0,41,B
1144,male,0,52,B
1145,male,0,68,C
1146,male,0,62,C
1147,male,0,54,B
1148,male,0,59,C
1149,male,0,48,C
1150,male,1,44,A
1151,male,1,51,B
1152,male,0,34,A
1153,male,0,55,C
1154,male,0,48,C
1155,male,0,46,B
1156,male,0,29,C
1157,male,0,50,C
1158,male,0,55,C
1159,female,0,67,A
1160,male,0,43,C
1161,male,0,45,C
1162,male,0,51,C
1163,male,0,58,B
1164,female,1,45,B
1165,male,0,50,C
1166,male,0,45,C
1167,male,0,52,C
1168,male,0,60,C
1169,female,0,63,A
1170,male,0,23,B
1171,male,0,57,C
1172,male,0,33,C
1173,male,0,60,C
1174,male,0,54,C
1175,male,0,53,C
1176,female,0,39,B
1177,male,0,65,B
1178,male,0,64,B
1179,male,0,53,A
1180,female,0,52,C
1181,male,0,56,B
1182,male,0,70,A
1183,female,0,84,C
1184,male,0,48,B
1185,male,0,59,B
1186,male,0,48,C
1187,male,0,41,C
1188,male,0,51,A
1189,male,0,72,B
1190,male,0,68,C
1191,male,0,79,B
1192,male,0,50,C
1193,male,0,58,C
1194,male,0,54,C
1195,male,1,38,B
1196,female,0,66,C
1197,male,0,54,A
1198,male,0,70,B
1199,male,0,46,B
1200,male,1,44,A
1201,female,0,62,C
1202,male,0,57,A
1203,male,0,78,C
1204,male,0,44,C
1205,male,0,63,B
1206,male,0,37,B
1207,male,0,57,C
1208,male,0,57,A
1209,male,0,61,A
1210,male,0,63,B
1211,male,0,47,C
1212,female,0,52,A
1213,male,0,61,B
1214,female,0,46,C
1215,male,0,74,A
1216,male,0,65,B
1217,male,0,33,B
1218,male,0,63,A
1219,male,0,48,B
1220,male,0,65,A
1221,male,0,71,C
1222,female,0,49,C
1223,female,0,44,A
1224,male,1,49,C
1225,male,0,34,C
1226,female,0,53,B
1227,male,0,46,C
1228,male,0,60,A
1229,male,0,63,C
1230,male,0,51,A
1231,female,0,52,C
1232,female,0,59,A
1233,male,0,72,B
1234,male,0,55,C
1235,male,0,59,C
1236,male,0,57,A
1237,female,0,51,C
1238,female,0,72,A
1239,male,0,45,B
1240,female,0,56,B
1241,male,0,57,C
1242,male,0,47,B
1243,male,0,81,C
1244,male,0,60,B
1245,male,0,75,B
1246,male,0,53,C
1247,male,0,54,B
1248,male,0,69,B
1249,male,0,58,C
1250,male,0,52,C
1251,male,0,67,C
1252,male,0,64,C
1253,female,0,51,A
1254,male,0,60,C
1255,female,0,72,A
1256,female,0,43,B
1257,male,0,47,C
1258,female,0,46,C
1259,male,0,65,B
1260,female,0,57,C
1261,female,0,45,B
1262,male,0,53,B
1263,female,0,66,C
1264,male,0,46,C
1265,male,0,48,C
1266,male,0,54,A
1267,male,0,52,C
1268,female,0,49,B
1269,male,1,47,C
1270,male,0,71,B
1271,male,0,54,B
1272,female,0,68,C
1273,male,0,68,C
1274,male,0,50,A
1275,male,0,56,C
1276,male,0,56,C
1277,male,0,44,B
1278,male,0,62,B
1279,male,0,61,C
1280,male,0,45,C
1281,male,0,50,C
1282,male,0,54,B
1283,female,0,76,B
1284,female,0,52,B
1285,male,0,60,C
1286,male,1,32,A
1287,female,0,46,A
1288,male,0,47,A
1289,female,1,56,A
1290,male,0,52,B
1291,female,0,57,C
1292,female,0,53,B
1293,male,0,43,A
1294,male,0,70,C
1295,male,0,46,C
1296,male,0,59,B
1297,male,0,42,B
1298,male,0,63,C
1299,female,0,53,A
1300,male,1,41,A
1301,female,0,59,A
1302,male,0,52,C
1303,female,0,57,C
1304,female,0,65,C
1305,female,0,55,C
1306,male,0,62,A
1307,female,0,72,B
1308,male,0,41,B
1309,male,0,48,C
1310,male,0,58,B
1311,male,0,43,B
1312,male,0,58,C
1313,female,0,59,B
1314,male,0,37,B
1315,male,0,54,B
1316,male,0,66,B
1317,male,0,57,C
1318,male,0,46,B
1319,male,0,56,A
1320,male,0,56,B
1321,male,0,69,C
1322,male,0,60,C
1323,female,0,61,C
1324,female,0,38,A
1325,female,0,37,C
1326,male,0,61,A
1327,female,0,40,C
1328,male,0,43,B
1329,male,0,53,B
1330,male,0,58,C
1331,male,0,52,A
1332,male,0,44,B
1333,female,0,57,A
1334,male,0,50,C
1335,male,0,48,C
1336,male,0,51,B
1337,female,0,59,A
1338,male,0,62,C
1339,male,0,43,C
1340,male,0,40,B
1341,male,0,62,A
1342,male,0,56,C
1343,male,0,71,B
1344,male,0,51,C
1345,male,0,46,C
1346,male,0,37,B
1347,male,0,53,C
1348,female,0,55,B
1349,male,0,58,B
1350,female,0,56,B
1351,male,0,70,C
1352,male,0,68,C
1353,male,1,49,B
1354,male,0,39,C
1355,male,0,54,A
1356,female,0,52,C
1357,male,0,60,C
1358,male,0,52,C
1359,female,0,51,B
1360,female,0,58,A
